species,island,beak_depth_mm,beak_length_mm,body_mass_g,wing_length_mm,sex
fuliginosa,Fernandina,11.54,10.64,19.41,76.07,female
difficilis,Fernandina,12.13,12.34,22.97,66.57,male
fortis,Fernandina,12.47,14.56,20.58,70.47,female
difficilis,Santa Cruz,6.61,9.12,23.74,69.98,female
fortis,Fernandina,10.21,13.53,17.04,63.53,male
difficilis,Santa Cruz,12.08,9.64,23.52,64.88,female
fortis,Fernandina,13.28,12.16,28.73,64.55,female
magnirostris,Isabela,11.58,12.83,17.97,58.66,male
magnirostris,Santa Cruz,8.31,12.46,16.08,74.5,female
fuliginosa,Isabela,6.78,11.08,15.46,70.48,female
magnirostris,Santa Cruz,8.64,9.55,22.82,70.22,female
difficilis,Santa Cruz,13.08,9.8,16.55,71.67,female
scandens,Fernandina,11.25,12.55,15.04,60.11,female
fortis,Fernandina,9.93,11.76,31.27,71.66,male
scandens,Santa Cruz,13.74,6.55,17.25,58.88,male
difficilis,Isabela,11.7,11.91,23.49,68.5,female
difficilis,Santa Cruz,8.26,13.48,11.98,57.54,male
difficilis,Santa Cruz,15.03,12.24,19.61,67.29,male
fuliginosa,Fernandina,10.53,12.02,18.55,68.29,male
difficilis,Fernandina,9.22,9.98,13.02,67.83,male
magnirostris,Fernandina,9.7,9.94,22.14,72.4,female
fortis,Isabela,16.32,13.76,20.96,60.55,female
scandens,Fernandina,13.42,9.94,14.27,68.85,male
scandens,Fernandina,13.79,10.77,22.24,74.88,male
fuliginosa,Isabela,11.71,7.37,16.8,63.1,female
fortis,Isabela,12.97,11.59,26.34,68.15,female
magnirostris,Santa Cruz,10.5,9.53,17.61,67.43,male
difficilis,Fernandina,13.12,9.64,16.49,70.72,male
fortis,Isabela,9.42,8.84,23.34,78.93,female
fuliginosa,Fernandina,7.81,7.43,15.63,63.45,female
fuliginosa,Fernandina,9.6,9.77,11.68,69.57,male
scandens,Fernandina,7.72,11.57,21.9,68.29,female
scandens,Fernandina,12.37,10.43,23.0,72.05,male
