country,income_group,life_expectancy_yrs,infant_mortality_per1000,vaccination_coverage_pct,health_spending_per_capita_USD
USA,High,78.9,7.1,92.1,10200
Canada,High,82.3,6.1,95.0,7800
UK,High,81.0,6.8,93.0,4500
Germany,High,81.5,5.8,96.0,5800
France,High,82.7,6.2,95.5,5200
Japan,High,84.3,4.9,98.0,4800
Australia,High,83.0,5.5,94.5,6100
Norway,High,83.2,5.1,97.0,7200
Sweden,High,82.8,5.3,96.5,6800
Switzerland,High,83.8,4.8,98.2,8900
Brazil,Middle,75.9,14.1,88.0,1100
Mexico,Middle,75.1,15.8,86.0,890
China,Middle,77.4,9.8,91.0,650
India,Middle,69.7,28.3,75.0,210
Indonesia,Middle,71.7,21.8,82.0,155
Nigeria,Low,54.3,68.2,42.0,85
Ethiopia,Low,66.2,45.1,58.0,42
DRC,Low,60.4,58.3,45.0,18
Tanzania,Low,65.5,41.2,55.0,38
Kenya,Low,66.7,36.4,62.0,88
South Africa,Middle,64.1,27.5,76.0,560
Argentina,Middle,76.7,10.2,90.0,780
Colombia,Middle,77.1,12.4,88.0,540
Peru,Middle,76.7,14.8,85.0,380
Thailand,Middle,77.2,8.2,87.0,320
Vietnam,Middle,75.4,16.1,83.0,185
Philippines,Middle,71.2,22.5,79.0,145
Pakistan,Low,67.1,53.2,68.0,48
Bangladesh,Low,72.6,28.9,71.0,35
Egypt,Middle,72.0,18.2,80.0,195
Morocco,Middle,76.7,18.5,81.0,215
Ghana,Low,64.1,42.3,61.0,55
Senegal,Low,67.9,38.1,57.0,48
Uganda,Low,63.4,43.2,52.0,28
Mozambique,Low,60.9,61.4,48.0,22
Russia,High,73.2,8.1,89.0,985
Turkey,Middle,77.7,9.8,88.0,425
Iran,Middle,76.5,13.2,85.0,385
Saudi Arabia,High,75.8,7.2,92.0,1850
UAE,High,78.0,5.8,95.0,2650
New Zealand,High,82.1,5.4,95.5,5800
Ireland,High,82.3,5.1,96.0,5200
Portugal,High,81.1,5.5,94.0,3200
Greece,High,81.5,5.9,93.5,2800
Poland,High,78.5,6.8,91.0,2200
Czech Republic,High,79.1,6.2,92.0,2600
Hungary,High,76.9,7.2,90.0,2100
Romania,Middle,75.6,8.9,88.0,1450
Ukraine,Middle,73.0,9.5,87.0,380
Bolivia,Middle,71.5,24.1,78.0,195
