Student_ID,Major,Year,Age,ZIP_Code,Units_Enrolled,Commute_Minutes,Commute_Method,Hours_Study,Hours_Sleep,Coffee_Cups_Daily,Exercise_Hours_Week,Employed,Study_Location,Pet_Owner,Siblings,Satisfaction,GPA
S01,Business,Junior,23,90291,15,32,Car,5,7.5,0,4,Not employed,Campus Commons,Yes,0,Fair,3.59
S02,Mathematics,Freshman,20,90250,15,20,Car,7,7.5,1,8,Not employed,Campus Commons,Yes,1,Fair,2.6
S03,Computer Science,Freshman,21,90019,17,24,Car,7,8.5,2,1,Part-time,Coffee Shop,Yes,2,Excellent,3.65
S04,Biology,Junior,20,90016,18,7,Car,21,6.0,0,6,Part-time,Coffee Shop,Yes,2,Excellent,3.36
S05,Biology,Freshman,20,90232,12,10,Car,11,6.0,1,1,Full-time,Library,Yes,2,Excellent,2.82
S06,Communications,Sophomore,23,90066,15,19,Bus,3,6.5,1,8,Not employed,Home,Yes,0,Excellent,3.86
S07,English,Sophomore,19,90008,16,11,Car,6,7.0,2,5,Part-time,Coffee Shop,Yes,3,Excellent,3.69
S08,Business,Freshman,21,90404,9,7,Car,5,9.0,0,1,Part-time,Home,Yes,2,Excellent,3.2
S09,Mathematics,Junior,24,90066,15,11,Car,1,6.5,3,4,Part-time,Library,No,4,Good,3.74
S10,Biology,Sophomore,18,90034,13,12,Car,10,8.5,1,0,Part-time,Library,No,4,Good,3.64
S11,Engineering,Junior,19,90045,12,16,Bike/Walk,11,6.5,3,6,Full-time,Library,Yes,2,Excellent,3.74
S12,English,Sophomore,31,90045,14,10,Car,7,7.5,3,3,Part-time,Home,No,3,Good,3.14
S13,Mathematics,Sophomore,22,90250,14,16,Bike/Walk,7,7.5,4,2,Full-time,Campus Commons,No,4,Fair,3.78
S14,Communications,Sophomore,19,90220,15,52,Bike/Walk,15,7.5,1,4,Not employed,Home,Yes,2,Excellent,3.61
S15,Nursing,Sophomore,21,90250,15,48,Car,19,8.0,3,2,Part-time,Coffee Shop,No,2,Poor,3.17
S16,Art,Junior,20,90045,14,6,Car,13,6.5,1,2,Part-time,Library,No,2,Good,3.37
S17,Computer Science,Sophomore,22,90250,17,31,Car,9,8.5,1,3,Full-time,Coffee Shop,Yes,2,Excellent,3.2
S18,Biology,Sophomore,23,90230,12,68,Car,3,8.0,0,5,Not employed,Campus Commons,No,2,Excellent,3.05
S19,Business,Freshman,26,90304,12,36,Car,5,6.5,1,3,Full-time,Home,No,2,Good,3.44
S20,Business,Junior,18,90016,13,7,Bike/Walk,9,7.5,0,3,Part-time,Home,Yes,0,Good,3.67
S21,Nursing,Sophomore,20,90034,16,30,Bike/Walk,5,6.0,4,6,Full-time,Campus Commons,No,0,Good,3.55
S22,Computer Science,Sophomore,29,90066,15,5,Car,11,7.0,0,5,Part-time,Library,No,1,Good,3.33
S23,Mathematics,Sophomore,24,90232,12,24,Bus,4,6.0,1,4,Part-time,Campus Commons,No,1,Excellent,3.77
S24,Psychology,Freshman,23,90034,16,17,Car,6,7.5,3,3,Part-time,Campus Commons,Yes,2,Good,3.28
S25,Computer Science,Senior,20,90016,16,18,Bus,24,9.5,0,4,Not employed,Campus Commons,No,4,Excellent,3.63
S26,Biology,Senior,25,90250,16,6,Car,8,8.5,2,1,Not employed,Campus Commons,No,1,Excellent,3.6
S27,Business,Freshman,27,90304,9,70,Car,14,7.5,2,6,Part-time,Home,Yes,3,Good,3.78
S28,Nursing,Sophomore,28,90220,12,5,Bike/Walk,14,6.0,3,4,Full-time,Coffee Shop,Yes,1,Good,3.06
S29,Computer Science,Junior,19,90045,17,5,Bike/Walk,3,7.5,2,6,Full-time,Home,No,2,Excellent,3.53
S30,Biology,Freshman,19,90220,17,29,Car,8,8.0,3,0,Part-time,Library,Yes,0,Good,3.9
S31,Business,Sophomore,19,90250,12,10,Bike/Walk,10,7.0,3,0,Part-time,Campus Commons,Yes,2,Good,3.93
S32,Kinesiology,Sophomore,31,90230,14,6,Car,7,7.0,2,1,Part-time,Library,Yes,2,Excellent,3.6
S33,Communications,Junior,29,90305,12,19,Bus,12,5.5,1,1,Not employed,Library,Yes,3,Excellent,3.59
S34,Mathematics,Senior,18,90291,13,50,Bus,1,6.0,0,2,Part-time,Campus Commons,No,0,Excellent,3.83
S35,Biology,Senior,19,90019,6,26,Car,20,5.0,0,3,Full-time,Campus Commons,Yes,2,Poor,3.56
S36,English,Junior,22,90232,12,12,Bike/Walk,13,9.0,3,4,Part-time,Library,Yes,3,Good,3.64
S37,Nursing,Freshman,28,90019,12,36,Car,5,7.5,1,3,Not employed,Campus Commons,Yes,2,Poor,3.81
S38,Computer Science,Senior,23,90291,17,40,Train,4,7.5,4,3,Part-time,Coffee Shop,No,0,Good,3.98
S39,Kinesiology,Freshman,22,90305,15,19,Train,3,7.0,1,2,Full-time,Coffee Shop,Yes,3,Good,3.75
S40,Biology,Freshman,21,90019,12,5,Bike/Walk,12,5.5,0,7,Part-time,Home,No,1,Fair,3.49
