StudentID,StudyHoursPerWeek,Exam1Score,OwnsCar,HasPet,UsesPublicTransit
S01,3.5,65,Yes,Yes,No
S02,12.0,81,Yes,Yes,Yes
S03,14.7,84,Yes,Yes,Yes
S04,8.1,73,No,Yes,No
S05,17.9,77,No,No,No
S06,15.8,85,No,Yes,No
S07,2.2,58,No,No,Yes
S08,10.6,68,Yes,Yes,No
S09,6.3,66,Yes,No,No
S10,9.0,72,No,No,No
S11,9.3,86,Yes,No,No
S12,6.2,65,No,Yes,Yes
S13,10.0,82,Yes,No,No
S14,15.9,100,Yes,Yes,No
S15,6.8,64,Yes,No,No
S16,4.4,58,No,Yes,Yes
S17,14.2,75,No,No,No
S18,10.5,74,No,Yes,No
S19,2.0,59,Yes,No,No
S20,16.9,92,Yes,No,No
S21,16.1,91,Yes,Yes,No
S22,2.9,57,No,No,No
S23,16.0,91,No,No,Yes
S24,9.8,75,No,Yes,Yes
S25,3.1,62,Yes,Yes,Yes
S26,4.1,53,Yes,Yes,No
S27,9.6,71,No,Yes,No
S28,16.0,87,No,Yes,No
S29,8.8,75,Yes,No,Yes
S30,13.7,91,Yes,Yes,No
S31,5.2,59,No,Yes,Yes
S32,12.4,99,No,Yes,Yes
S33,9.0,71,Yes,No,No
S34,5.6,66,Yes,Yes,No
S35,7.4,67,Yes,No,No
S36,5.5,64,Yes,No,No
S37,3.1,59,Yes,Yes,No
S38,16.5,86,Yes,Yes,Yes
S39,15.8,92,Yes,No,No
S40,12.7,84,Yes,No,No
