Student_ID,Sleep_Week2,Sleep_FinalsWeek
S01,7.5,7.0
S02,7.5,7.0
S03,8.5,6.5
S04,6.0,3.5
S05,6.0,5.0
S06,6.5,6.5
S07,7.0,6.0
S08,9.0,8.0
S09,6.5,6.0
S10,8.5,6.5
S11,6.5,5.0
S12,7.5,7.5
S13,7.5,6.0
S14,7.5,7.5
S15,8.0,7.5
S16,6.5,6.0
S17,8.5,8.0
S18,8.0,7.0
S19,6.5,6.0
S20,7.5,7.0
S21,6.0,4.0
S22,7.0,6.5
S23,6.0,5.0
S24,7.5,7.5
S25,9.5,8.5
S26,8.5,7.0
S27,7.5,6.5
S28,6.0,5.5
S29,7.5,6.0
S30,8.0,6.0
S31,7.0,6.0
S32,7.0,5.0
S33,5.5,3.5
S34,6.0,5.0
S35,5.0,4.0
S36,9.0,7.5
S37,7.5,6.0
S38,7.5,7.5
S39,7.0,6.0
S40,5.5,4.0
