age,gender,country,english_native,handedness,extraversion,neuroticism,agreeableness,conscientiousness,openness
18,Male,US,Yes,Right,4.8,2.0,4.6,3.1,3.7
49,Female,DK,No,Right,4.4,2.2,4.2,2.4,4.0
15,Female,US,Yes,Right,3.7,3.7,4.0,2.9,4.0
27,Female,(nu,No,Right,3.9,2.6,4.4,4.2,4.1
15,Female,US,Yes,Right,2.0,4.2,3.3,2.7,4.0
26,Female,AU,Yes,Right,3.4,4.0,4.1,3.1,3.7
53,Male,US,Yes,Both,3.1,3.9,3.4,3.0,4.0
52,Female,JM,Yes,Right,3.9,2.6,4.4,3.3,3.4
25,Female,ZA,No,Right,3.7,2.2,4.7,3.3,4.1
29,Male,IN,No,Right,3.2,4.1,4.2,3.7,3.6
31,Male,US,Yes,Right,4.3,3.1,4.1,3.9,4.6
16,Male,AU,Yes,Right,2.0,3.5,4.7,2.7,4.3
26,Female,IN,No,Right,2.5,4.3,3.6,3.1,3.5
21,Female,IN,No,Right,2.9,3.5,3.1,3.5,4.2
54,Female,BM,Yes,Right,3.8,2.1,4.4,3.3,3.9
18,Female,US,Yes,Right,4.2,2.9,4.6,3.2,3.7
22,Male,IN,No,Right,2.0,3.1,4.5,3.1,4.9
17,Female,PH,No,Right,4.1,3.2,4.1,3.0,3.1
20,Female,DK,Yes,Right,1.9,4.0,3.8,2.9,2.8
17,Male,JO,No,Right,3.4,3.8,4.5,2.1,4.6
37,Female,CA,Yes,Right,3.9,2.7,5.0,3.5,4.9
30,Male,US,Yes,Right,4.8,2.2,4.9,3.9,4.8
54,Female,CA,Yes,Right,3.8,3.7,4.8,4.3,4.5
18,Male,ID,No,Right,4.1,1.7,3.9,2.0,4.4
15,Female,GB,Yes,Right,1.5,3.3,2.6,2.6,4.1
22,Male,PK,Yes,Right,3.7,3.9,3.9,4.0,4.7
21,Male,RO,No,Right,2.0,4.1,2.1,4.2,3.4
41,Male,US,Yes,Right,2.7,3.4,3.7,3.3,4.2
28,Male,SE,No,Right,3.5,2.8,2.3,3.5,4.2
35,Female,US,Yes,Left,4.2,3.5,4.8,3.7,4.4
33,Female,US,No,Right,2.5,4.6,4.1,2.4,3.8
35,Male,GB,Yes,Right,3.0,2.2,4.3,3.3,4.0
20,Male,IN,No,Right,2.9,3.6,3.1,2.5,4.1
38,Male,JP,Yes,Right,2.2,4.2,4.0,2.5,4.5
25,Female,US,Yes,Right,2.1,3.2,4.5,3.7,3.3
48,Male,IN,No,Right,2.9,3.1,3.3,3.9,3.4
18,Female,US,Yes,Right,4.2,4.1,4.6,3.6,3.9
18,Female,CA,Yes,Right,2.5,2.9,3.6,3.8,4.4
19,Female,GB,Yes,Right,4.3,2.6,4.1,4.1,4.3
16,Female,AU,Yes,Right,2.3,4.0,3.3,3.8,4.4
20,Female,LB,Yes,Right,3.4,2.5,4.3,3.4,3.5
17,Male,US,Yes,Right,2.2,3.9,4.3,3.2,3.9
68,Male,US,Yes,Right,3.0,3.1,3.0,2.9,3.0
40,Female,US,Yes,Right,3.3,2.0,5.0,2.6,3.6
23,Male,(nu,No,Right,3.1,3.7,3.8,2.5,2.7
27,Female,US,Yes,Right,3.0,2.3,4.1,2.9,5.0
25,Male,GB,No,Right,3.7,3.0,4.2,2.4,4.0
21,Female,US,Yes,Right,2.3,2.1,3.3,2.6,4.4
61,Male,PR,No,Both,3.4,2.9,3.7,4.4,4.4
17,Female,CA,Yes,Right,3.4,4.0,3.6,2.9,3.7
24,Female,JM,Yes,Right,3.4,3.5,2.5,3.8,4.0
21,Female,PH,No,Right,2.5,3.3,3.3,3.9,3.7
18,Male,US,Yes,Right,1.6,4.3,3.6,2.6,4.5
20,Female,US,Yes,Right,4.3,2.2,3.8,3.5,4.1
23,Female,SA,No,Right,2.2,2.7,3.3,2.8,3.2
54,Female,SE,Yes,Right,4.2,3.1,4.5,4.0,4.5
24,Female,BH,No,Both,3.1,3.1,4.7,4.2,3.6
24,Female,US,Yes,Right,3.2,1.9,4.8,3.3,3.4
18,Female,IN,No,Right,3.5,2.9,4.2,3.7,3.5
28,Female,IT,No,Right,2.1,4.6,4.7,2.5,3.7
31,Male,NL,No,Right,2.3,2.1,2.8,3.1,3.9
34,Male,SE,No,Right,4.2,2.7,3.9,2.3,4.2
20,Female,US,Yes,Right,4.2,4.7,1.3,4.5,4.6
18,Female,PH,No,Right,1.2,4.3,2.9,3.3,3.9
18,Female,CA,Yes,Right,3.2,4.2,4.3,4.0,3.5
27,Female,FR,No,Right,4.5,4.2,5.0,2.8,3.5
13,Female,SG,Yes,Right,2.4,3.5,3.7,2.5,2.6
17,Female,US,Yes,Right,2.0,4.7,3.8,2.5,3.2
19,Female,(nu,Yes,Right,2.9,3.0,3.3,3.6,4.7
27,Female,ZA,No,Right,2.7,2.4,3.0,3.3,3.0
16,Male,IN,No,Left,4.0,3.9,4.8,2.6,4.8
24,Female,US,No,Right,3.7,1.9,3.7,2.3,2.6
69,Female,US,Yes,Right,3.6,1.5,5.0,4.7,4.3
27,Male,PH,No,Right,2.9,2.4,3.5,3.8,4.1
33,Female,DE,No,Right,3.5,4.8,3.9,2.7,4.4
54,Male,US,Yes,Left,3.3,2.7,4.1,3.0,3.8
61,Male,US,Yes,Right,3.0,2.7,3.2,3.3,4.1
13,Female,US,Yes,Right,4.9,1.6,4.0,2.1,3.1
14,Female,US,Yes,Right,2.6,3.2,3.2,2.5,2.9
19,Female,ID,No,Right,2.4,4.4,3.8,3.1,2.9
17,Female,RS,No,Right,3.5,3.3,3.9,2.3,4.4
27,Male,US,Yes,Right,1.8,3.5,3.6,3.1,3.9
17,Female,PH,No,Right,3.0,3.4,4.0,3.2,4.3
16,Male,PH,No,Right,1.7,3.3,3.9,4.2,4.9
19,Female,US,Yes,Right,1.9,1.9,3.1,3.3,4.1
54,Male,US,Yes,Right,4.0,3.1,4.4,4.2,3.5
33,Female,NO,No,Right,4.6,3.4,4.6,3.8,3.9
14,Female,US,Yes,Right,2.8,3.5,4.2,3.3,3.3
25,Female,IN,No,Right,2.2,5.0,3.9,2.0,3.7
28,Male,IN,No,Right,3.0,3.0,2.9,3.8,3.9
19,Female,US,Yes,Right,2.7,3.1,4.3,2.6,4.3
21,Female,CA,Yes,Left,2.7,1.4,3.3,3.4,2.8
23,Female,US,No,Right,2.8,3.9,3.8,2.5,3.5
28,Male,US,Yes,Left,2.4,1.0,2.7,4.2,4.0
23,Female,US,Yes,Right,3.8,2.9,4.7,1.9,4.5
24,Female,AU,Yes,Right,4.0,2.3,4.3,3.1,3.5
18,Female,US,Yes,Right,1.2,2.0,3.8,3.2,2.9
18,Male,GB,Yes,Right,4.1,2.8,4.1,4.1,3.6
19,Female,GB,Yes,Right,2.5,2.9,3.7,2.5,3.2
18,Female,IE,No,Left,1.4,2.7,2.8,4.1,4.0
18,Female,US,Yes,Right,1.1,3.9,3.2,2.1,3.4
45,Male,ZA,Yes,Right,3.1,2.1,3.9,4.7,3.3
24,Female,GB,Yes,Right,2.8,2.9,4.0,4.1,4.5
52,Male,US,Yes,Right,3.4,2.7,4.0,3.4,4.5
21,Male,US,Yes,Right,2.6,2.6,4.1,3.2,4.9
21,Male,US,Yes,Right,2.9,2.7,4.1,4.0,3.4
