"cadet_id","group","mile_week1","mile_week4","mile_week8","mile_week12"
"C01","Control",591,579.9,575.3,583.8
"C02","Control",555.2,555.7,543.3,539.4
"C03","Control",561.3,554.2,551.2,545.5
"C04","Control",543.2,544.1,541.3,539.8
"C05","Control",567.8,546.7,565.2,570.2
"C06","Control",543.2,534.7,549.6,520.9
"C07","Control",552.7,555.8,539.3,543.3
"C08","Control",553.1,543.9,546.8,532.1
"C09","Control",557.2,557.9,545.4,550.7
"C10","Control",552.3,552.3,540.9,514.9
"C11","Control",556.2,543.1,552,557.1
"C12","Control",572.1,573.1,571.3,560.4
"C13","Control",539.7,536.4,531.1,515.8
"C14","Control",577.1,570.7,571.1,567.9
"C15","Control",575.9,570,561,554.9
"C16","Control",546.3,539.1,533.5,529.7
"C17","Control",571.4,574.3,558.1,569.3
"C18","Control",567.1,558.8,563,547.5
"C19","Training",575.3,560.9,535.5,539.3
"C20","Training",569.6,563.5,536.5,527.9
"C21","Training",536.8,523.4,495.5,482.4
"C22","Training",552.2,534.8,525.7,507.8
"C23","Training",563.6,546.4,531.2,515.3
"C24","Training",556.5,537.7,531.8,502.2
"C25","Training",555.9,547.7,526.2,516.5
"C26","Training",558.9,532.1,530.2,516.1
"C27","Training",582.1,553.7,545.7,535.1
"C28","Training",563,551.4,535.3,526.5
"C29","Training",572.7,540.8,526.6,516.2
"C30","Training",566.2,553.2,517.2,517.9
"C31","Training",558.6,534.8,526.8,524.6
"C32","Training",559.3,544.9,531.6,510.3
"C33","Training",556.1,545.1,524,513.9
"C34","Training",573.8,564.2,547.3,509.7
"C35","Training",558.1,540.5,529.6,509.7
"C36","Training",553,537.5,528.1,496.4
