year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres16,gunlaw,cappun,cannabis_legal,happy,health,life,trust,fear,satfin,mental_health_bad_days,tv_hours,socbar,relig,attend,god,postlife,bible,read_horoscope,astrology_is_scientific,evolved,bigbang,earthsun,radioact,lasers,electron,viruses,condrift,hotcore,expdesgn,odds1,odds2,science_score,science_answered
2018,1,43,male,white,associate/junior college,14,northeast,never married,0,"with a job, but not at work because of temporary illness, vacation, strike",,,working class,not very strong republican,conservative,trump,favor,favor,,pretty happy,good,routine,,yes,not satisfied at all,20,3,about once a month,christian,2-3 times a month,no doubts,yes,word of god,no,not at all scientific,false,false,earth around sun,false,false,true,true,true,true,don't know,no,yes,6,9
2018,2,74,female,white,high school,10,northeast,separated,3,retired,,,working class,"independent, close to democrat",don't know,trump,favor,oppose,should not be legal,very happy,excellent,exciting,most people can be trusted,no,more or less satisfied,,,,catholic,about once or twice a year,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,3,42,male,white,bachelor's,16,northeast,married,2,working full time,40,70100,middle class,"independent, close to republican",slightly conservative,trump,,favor,should be legal,very happy,,,can't be too careful,,more or less satisfied,3,1,about once a year,none,about once or twice a year,believe with doubts,yes,inspired word,no,not at all scientific,true,,earth around sun,false,false,false,true,true,true,500 get the drug; 500 don't,no,yes,6,8
2018,4,63,female,white,bachelor's,16,northeast,married,2,working full time,40,84120,middle class,"independent, close to democrat","moderate, middle of the road",don't know,,oppose,should not be legal,very happy,,,most people can be trusted,,pretty well satisfied,1,1,about once a year,protestant,nearly every week,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,5,71,male,black,graduate,18,northeast,divorced,0,retired,,,upper class,strong republican,extremely conservative,trump,favor,oppose,should not be legal,pretty happy,excellent,routine,most people can be trusted,no,pretty well satisfied,,,,catholic,several times a week,no doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,6,67,female,white,bachelor's,16,northeast,widowed,2,retired,,,working class,"independent, close to democrat",slightly liberal,clinton,favor,favor,,not too happy,good,routine,,no,more or less satisfied,,10,about once a month,catholic,about once a month,believe with doubts,yes,inspired word,no,sort of scientific,,,earth around sun,false,false,don't know,false,true,true,500 get the drug; 500 don't,no,yes,6,7
2018,7,59,female,black,high school,13,northeast,divorced,6,working full time,35,13143.75,working class,strong democrat,"moderate, middle of the road",clinton,favor,favor,should be legal,pretty happy,good,routine,can't be too careful,yes,more or less satisfied,0,,,protestant,every week,"don't know, no way to find out",yes,inspired word,,,,,,,,,,,,,,,0,0
2018,8,43,male,white,high school,12,northeast,never married,0,working full time,89,26287.5,working class,not very strong republican,slightly conservative,trump,favor,favor,should be legal,pretty happy,excellent,dull,can't be too careful,no,more or less satisfied,1,,,catholic,every week,no doubts,yes,ancient book,,,,,,,,,,,,,,,0,0
2018,9,62,female,white,less than high school,8,northeast,widowed,4,working full time,40,1402,lower class,"independent (neither, no response)","moderate, middle of the road",,,favor,should be legal,not too happy,,,can't be too careful,,not satisfied at all,10,4,never,none,never,believe with doubts,yes,word of god,no,not at all scientific,,,earth around sun,false,true,true,false,true,false,500 get the drug; 500 don't,no,yes,5,7
2018,10,55,male,white,high school,12,northeast,married,2,working full time,40,70100,middle class,not very strong democrat,don't know,trump,,favor,should be legal,pretty happy,,,can't be too careful,,pretty well satisfied,10,2,several times a year,protestant,about once or twice a year,believe with doubts,yes,inspired word,,,,,,,,,,,,,,,0,0
2018,11,59,male,white,graduate,19,northeast,divorced,2,working full time,40,84120,middle class,strong republican,conservative,trump,favor,favor,,pretty happy,excellent,exciting,,yes,more or less satisfied,0,3,several times a month,catholic,about once a month,believe with doubts,yes,inspired word,yes,not at all scientific,,,earth around sun,false,false,true,false,true,true,500 get the drug; 500 don't,no,yes,7,7
2018,12,34,female,other,high school,14,northeast,separated,3,working part time,20,13143.75,working class,not very strong democrat,"moderate, middle of the road",clinton,,favor,don't know,pretty happy,,,can't be too careful,,not satisfied at all,0,3,several times a year,protestant,2-3 times a month,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,13,61,female,white,high school,13,northeast,divorced,2,retired,,,working class,not very strong democrat,"moderate, middle of the road",,favor,favor,,not too happy,poor,routine,,yes,not satisfied at all,,8,never,catholic,never,no doubts,yes,word of god,yes,sort of scientific,don't know,false,sun around earth,true,true,don't know,true,don't know,true,500 get the drug; 500 don't,no,yes,1,9
2018,14,44,male,black,bachelor's,16,northeast,married,2,working full time,40,70100,working class,strong democrat,slightly liberal,,favor,favor,should be legal,very happy,excellent,exciting,most people can be trusted,yes,more or less satisfied,0,,,catholic,several times a year,no doubts,yes,word of god,,,,,,,,,,,,,,,0,0
2018,15,41,female,black,high school,12,northeast,never married,2,keeping house,,,lower class,"independent, close to republican",liberal,,,favor,should be legal,pretty happy,,,can't be too careful,,not satisfied at all,,8,never,none,never,no doubts,yes,word of god,no,sort of scientific,,,don't know,don't know,don't know,don't know,true,true,true,all 1000 get the drug,no,yes,2,7
