year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres20,gunlaw,cappun,cannabis_legal,happy,health,life,trust,satfin,mental_health_bad_days,relig,attend,god,postlife,bible
2022,1,72,female,white,bachelor's,16,northeast,divorced,1,working full time,40,63300,middle class,strong democrat,liberal,biden,favor,oppose,,not too happy,good,routine,,not satisfied at all,15,none,about once or twice a year,don't believe,,
2022,2,80,male,white,graduate,18,northeast,married,2,retired,,,middle class,"independent (neither, no response)",slightly conservative,biden,oppose,favor,,not too happy,good,routine,,more or less satisfied,,catholic,about once or twice a year,,,
2022,3,57,female,white,high school,12,northeast,divorced,1,working full time,52,28485,working class,not very strong republican,"moderate, middle of the road",trump,favor,favor,,not too happy,good,routine,,more or less satisfied,0,other,never,no doubts,,
2022,4,23,female,white,bachelor's,16,northeast,never married,0,"with a job, but not at work because of temporary illness, vacation, strike",,3481.5,middle class,strong democrat,extremely liberal,biden,favor,oppose,,not too happy,good,routine,,pretty well satisfied,10,none,about once a month,,,
2022,5,62,male,white,high school,14,northeast,never married,2,other,,,middle class,"independent (neither, no response)",slightly conservative,trump,oppose,oppose,,pretty happy,fair,routine,,not satisfied at all,,catholic,about once or twice a year,believe with doubts,,
2022,6,27,male,white,high school,12,northeast,never married,0,working full time,50,34815,lower class,not very strong democrat,"moderate, middle of the road",biden,favor,oppose,,pretty happy,excellent,exciting,,more or less satisfied,,none,never,don't believe,,
2022,7,20,female,other,high school,12,northeast,never married,0,working part time,30,23737.5,lower class,"independent, close to democrat",slightly liberal,,favor,oppose,should not be legal,pretty happy,good,routine,can't be too careful,not satisfied at all,14,none,less than once a year,higher power,yes,ancient book
2022,8,47,male,white,graduate,16,northeast,married,0,working full time,40,52222.5,upper class,strong democrat,extremely liberal,biden,favor,oppose,,pretty happy,good,routine,,pretty well satisfied,0,none,less than once a year,"don't know, no way to find out",,
2022,9,31,female,white,high school,12,northeast,never married,1,working full time,31,10286.25,working class,"independent, close to democrat",slightly liberal,biden,don't know,favor,,pretty happy,good,exciting,,not satisfied at all,5,none,never,,don't know,ancient book
2022,10,72,female,,high school,12,northeast,never married,4,retired,,,working class,strong democrat,"moderate, middle of the road",biden,,don't know,should be legal,pretty happy,excellent,,can't be too careful,pretty well satisfied,,other,every week,no doubts,don't know,word of god
2022,11,57,female,white,high school,13,northeast,widowed,2,keeping house,,,working class,"independent (neither, no response)","moderate, middle of the road",biden,,oppose,,pretty happy,good,,,more or less satisfied,,none,never,higher power,,
2022,12,25,female,white,bachelor's,16,northeast,never married,0,working part time,33,20572.5,middle class,"independent, close to democrat",don't know,biden,don't know,oppose,should be legal,pretty happy,fair,routine,can't be too careful,more or less satisfied,7,none,less than once a year,"don't know, no way to find out",no,ancient book
2022,13,35,female,white,high school,12,northeast,married,2,working full time,40,28485,working class,other party,"moderate, middle of the road",other candidate,,favor,don't know,very happy,fair,,most people can be trusted,more or less satisfied,15,orthodox-christian,about once or twice a year,believe with doubts,yes,inspired word
2022,14,36,female,white,high school,12,northeast,never married,2,working part time,10,316.5,middle class,not very strong republican,"moderate, middle of the road",trump,favor,favor,,not too happy,good,routine,,more or less satisfied,0,catholic,less than once a year,higher power,,
2022,15,41,female,white,high school,13,northeast,never married,3,keeping house,,,working class,"independent (neither, no response)",conservative,trump,favor,favor,,pretty happy,excellent,routine,,not satisfied at all,,catholic,about once a month,,,
2022,16,65,male,white,high school,14,northeast,divorced,4,retired,,,working class,"independent, close to democrat",liberal,biden,favor,don't know,,very happy,good,exciting,,not satisfied at all,,catholic,about once or twice a year,,yes,word of god
2022,17,20,female,other,high school,13,northeast,never married,1,keeping house,,,middle class,"independent, close to republican",conservative,biden,,oppose,,very happy,excellent,,,more or less satisfied,,protestant,nearly every week,no doubts,yes,word of god
2022,18,80,female,white,bachelor's,16,northeast,married,7,working part time,20,20572.5,middle class,"independent, close to democrat",slightly liberal,biden,,oppose,,very happy,good,,,more or less satisfied,4,catholic,every week,no doubts,,
2022,19,35,female,black,less than high school,11,northeast,never married,4,working part time,8,7121.25,lower class,"independent (neither, no response)","moderate, middle of the road",,favor,oppose,,not too happy,good,routine,,not satisfied at all,10,none,never,no doubts,,
2022,20,89,female,white,high school,12,northeast,never married,0,retired,,,middle class,not very strong democrat,conservative,,,don't know,should not be legal,pretty happy,poor,,can't be too careful,more or less satisfied,,catholic,never,no doubts,yes,ancient book
2022,21,34,female,other,high school,10,northeast,married,3,keeping house,,2215.5,working class,"independent (neither, no response)",conservative,trump,favor,oppose,,pretty happy,good,exciting,,more or less satisfied,,protestant,every week,,,
2022,22,55,female,black,high school,12,northeast,married,5,other,,,working class,"independent (neither, no response)",extremely conservative,,favor,favor,,not too happy,poor,routine,,more or less satisfied,,other,never,,,
