cadet_id,sex,mile_run_sec_week1,mile_run_sec_week12,pushups_week1,pushups_week12
K001,F,674,625,32,39
K002,M,597,557,31,44
K003,M,513,470,39,44
K004,M,550,513,54,58
K005,M,544,503,35,46
K006,M,556,526,34,43
K007,M,595,580,45,54
K008,M,575,545,40,54
K009,F,650,612,32,35
K010,F,639,599,31,47
K011,M,538,513,21,31
K012,F,576,538,28,38
K013,M,601,546,31,40
K014,M,557,502,24,36
K015,M,543,524,47,53
K016,M,558,506,36,46
K017,F,664,635,29,41
K018,F,598,572,26,39
K019,F,666,630,25,37
K020,M,575,527,41,44
K021,M,510,479,47,60
K022,F,592,552,19,31
K023,F,652,615,31,43
K024,M,603,592,42,47
K025,M,601,566,19,28
K026,M,528,487,48,59
K027,M,510,496,34,42
K028,M,511,483,28,39
K029,M,621,596,34,43
K030,M,505,477,26,35
K031,M,564,551,39,49
K032,M,619,590,45,45
K033,M,534,505,42,55
K034,M,538,522,40,46
K035,M,607,567,30,41
K036,F,616,574,30,43
K037,M,504,463,41,51
K038,M,645,617,38,44
K039,M,591,588,35,45
K040,M,586,538,36,44
K041,M,572,532,31,42
K042,M,456,439,46,62
K043,M,589,535,43,57
K044,F,577,541,48,59
K045,M,560,542,41,52
K046,M,581,536,34,48
K047,M,617,571,39,51
K048,M,580,563,43,50
K049,M,571,540,24,40
K050,M,655,615,31,42
K051,M,544,490,40,49
K052,M,551,526,46,52
K053,F,682,633,41,53
K054,M,557,504,24,30
K055,F,523,490,16,20
K056,F,662,632,29,38
K057,M,459,438,44,48
K058,F,656,625,31,41
K059,M,486,450,38,53
K060,M,621,578,32,45
