call_id,division,shift,call_type,priority,response_time_min
C0001,Pacific,Day,Other,2,12.3
C0002,Olympic,Night,Burglary,3,17.2
C0003,Van Nuys,Day,Disturbance,1,5.0
C0004,Pacific,Night,Assault,2,4.7
C0005,77th Street,Night,Other,2,6.0
C0006,Van Nuys,Day,Disturbance,1,8.9
C0007,77th Street,Day,Assault,2,7.7
C0008,Van Nuys,Night,Vehicle theft,2,14.0
C0009,Van Nuys,Day,Traffic collision,3,7.3
C0010,Pacific,Night,Assault,3,13.4
C0011,Harbor,Day,Burglary,2,5.9
C0012,Pacific,Night,Traffic collision,2,6.9
C0013,Harbor,Night,Burglary,2,15.1
C0014,Olympic,Day,Disturbance,2,7.5
C0015,Van Nuys,Night,Traffic collision,1,9.1
C0016,Olympic,Night,Burglary,3,10.9
C0017,Pacific,Day,Assault,3,3.6
C0018,Harbor,Day,Disturbance,2,6.0
C0019,Harbor,Night,Disturbance,3,3.9
C0020,Van Nuys,Night,Disturbance,3,5.2
C0021,Van Nuys,Night,Burglary,2,5.9
C0022,Van Nuys,Night,Other,3,9.2
C0023,Southwest,Night,Vehicle theft,2,12.8
C0024,Olympic,Day,Disturbance,3,5.9
C0025,77th Street,Night,Other,3,4.9
C0026,Harbor,Day,Traffic collision,1,10.8
C0027,Southwest,Day,Traffic collision,2,5.1
C0028,Harbor,Night,Burglary,1,6.3
C0029,Harbor,Day,Vehicle theft,2,7.6
C0030,Harbor,Night,Disturbance,2,8.0
C0031,77th Street,Day,Traffic collision,1,5.4
C0032,77th Street,Day,Other,3,7.0
C0033,Van Nuys,Day,Disturbance,3,10.6
C0034,Pacific,Night,Burglary,2,5.5
C0035,Van Nuys,Night,Assault,2,9.8
C0036,Van Nuys,Night,Burglary,2,10.0
C0037,77th Street,Day,Traffic collision,1,4.0
C0038,Southwest,Night,Disturbance,2,8.7
C0039,77th Street,Day,Disturbance,1,4.3
C0040,77th Street,Day,Assault,2,14.3
C0041,Olympic,Night,Burglary,2,12.1
C0042,Southwest,Night,Traffic collision,2,5.0
C0043,Van Nuys,Night,Other,2,14.7
