respondent_id,division,age_group,police_contact_last_year,trust_score_0to10,feels_safe_1to5
R001,Harbor,18-29,no,7,3
R002,Harbor,45-64,no,3,3
R003,Harbor,18-29,no,4,5
R004,77th Street,18-29,no,7,5
R005,Harbor,45-64,no,4,5
R006,Olympic,30-44,no,6,4
R007,77th Street,30-44,no,9,4
R008,Van Nuys,30-44,no,5,4
R009,77th Street,65+,no,7,2
R010,Southwest,30-44,yes,6,3
R011,Van Nuys,45-64,no,7,4
R012,77th Street,30-44,yes,4,4
R013,Olympic,45-64,yes,4,4
R014,Van Nuys,30-44,yes,5,4
R015,Pacific,30-44,no,8,4
R016,Harbor,18-29,yes,4,4
R017,Harbor,65+,no,5,2
R018,Pacific,30-44,yes,7,2
R019,Pacific,30-44,no,8,3
R020,Harbor,30-44,no,8,2
R021,77th Street,30-44,yes,7,3
R022,Van Nuys,45-64,no,9,3
R023,Pacific,30-44,no,8,3
R024,Olympic,30-44,no,8,5
R025,Harbor,30-44,yes,6,4
R026,Pacific,18-29,no,5,3
R027,77th Street,45-64,yes,7,4
R028,Harbor,30-44,no,5,2
R029,Olympic,30-44,no,4,3
R030,Van Nuys,65+,no,8,4
R031,Van Nuys,65+,no,6,4
R032,Olympic,18-29,no,8,3
R033,Van Nuys,18-29,no,9,3
R034,Harbor,45-64,no,4,4
R035,Harbor,30-44,yes,9,4
R036,77th Street,45-64,no,4,4
R037,77th Street,30-44,no,5,4
R038,Southwest,18-29,yes,7,4
R039,Southwest,45-64,yes,5,4
R040,77th Street,30-44,no,4,4
R041,77th Street,45-64,no,6,3
R042,Olympic,45-64,no,8,3
R043,Harbor,65+,yes,1,4
R044,77th Street,30-44,yes,6,3
R045,Pacific,18-29,no,4,4
R046,Southwest,30-44,no,7,2
R047,77th Street,30-44,yes,5,4
R048,Pacific,18-29,no,3,5
R049,Van Nuys,65+,no,7,4
R050,Olympic,30-44,no,7,3
R051,Pacific,45-64,no,7,4
R052,Southwest,45-64,no,7,3
R053,Van Nuys,18-29,no,7,3
R054,Van Nuys,18-29,yes,5,3
R055,Olympic,30-44,no,6,5
R056,77th Street,65+,no,8,5
R057,Pacific,65+,no,7,3
R058,Harbor,45-64,no,3,5
R059,Pacific,45-64,no,8,3
R060,Olympic,65+,no,9,3
R061,77th Street,65+,no,7,3
R062,Pacific,18-29,no,9,5
R063,Olympic,30-44,no,5,4
R064,Pacific,65+,no,6,4
R065,Harbor,18-29,yes,7,3
R066,77th Street,65+,no,7,4
R067,77th Street,30-44,no,7,5
R068,Southwest,18-29,no,6,5
R069,Van Nuys,45-64,yes,6,5
R070,Southwest,18-29,no,8,2
R071,Pacific,45-64,yes,5,3
R072,Olympic,30-44,yes,5,5
R073,Southwest,45-64,yes,5,5
R074,Pacific,45-64,no,5,5
R075,Harbor,65+,no,7,5
R076,Southwest,45-64,no,4,3
R077,Harbor,18-29,no,4,2
R078,Olympic,18-29,no,5,4
R079,Olympic,30-44,yes,4,3
R080,77th Street,45-64,yes,5,2
R081,Southwest,45-64,no,5,4
R082,77th Street,18-29,no,7,2
R083,77th Street,30-44,no,3,4
R084,Olympic,18-29,no,4,3
R085,Southwest,30-44,yes,3,4
R086,77th Street,18-29,yes,6,5
R087,Pacific,30-44,yes,5,5
R088,Olympic,18-29,yes,5,3
R089,77th Street,65+,yes,4,5
R090,Olympic,65+,yes,3,4
R091,77th Street,45-64,no,7,3
R092,Van Nuys,45-64,no,4,3
R093,77th Street,30-44,no,7,4
R094,Southwest,45-64,no,8,3
R095,Pacific,45-64,yes,7,4
R096,Pacific,65+,no,8,4
R097,Olympic,65+,no,6,4
R098,Olympic,45-64,no,7,5
R099,Van Nuys,45-64,no,4,4
R100,Olympic,45-64,yes,6,4
R101,Olympic,30-44,no,4,4
R102,Pacific,18-29,no,6,5
R103,77th Street,45-64,yes,5,4
R104,Olympic,45-64,yes,6,4
R105,Harbor,45-64,no,5,2
R106,Southwest,18-29,no,6,4
R107,Van Nuys,65+,yes,2,3
R108,Southwest,18-29,no,8,3
R109,Pacific,45-64,no,6,4
R110,Southwest,18-29,no,6,3
R111,Van Nuys,45-64,yes,5,2
R112,Harbor,45-64,no,4,4
R113,Pacific,45-64,no,9,3
R114,77th Street,30-44,yes,8,3
R115,Pacific,30-44,no,8,4
R116,Pacific,18-29,yes,9,4
R117,Olympic,30-44,yes,5,3
R118,Olympic,45-64,no,4,4
R119,Olympic,45-64,no,7,5
R120,Van Nuys,45-64,yes,4,3
R121,Pacific,45-64,no,8,1
R122,Olympic,45-64,no,7,3
R123,Olympic,65+,yes,4,5
R124,Pacific,18-29,no,9,3
R125,Harbor,45-64,no,10,4
R126,Southwest,30-44,no,5,4
R127,Pacific,30-44,no,10,2
R128,77th Street,30-44,no,6,4
R129,Olympic,18-29,no,7,5
R130,77th Street,18-29,yes,5,3
R131,Olympic,18-29,no,5,4
R132,Pacific,45-64,no,10,4
R133,Van Nuys,45-64,no,7,3
R134,Southwest,65+,yes,5,4
R135,Van Nuys,18-29,no,6,3
R136,Van Nuys,65+,no,5,5
R137,Van Nuys,45-64,yes,4,2
R138,77th Street,45-64,yes,7,5
R139,Pacific,45-64,no,6,3
R140,Van Nuys,30-44,no,6,4
R141,Van Nuys,18-29,no,7,3
R142,Van Nuys,18-29,no,5,5
R143,Pacific,45-64,no,7,3
R144,Pacific,30-44,yes,6,4
R145,Southwest,30-44,no,6,4
R146,77th Street,18-29,no,4,2
R147,Harbor,30-44,no,4,4
R148,Olympic,30-44,yes,8,4
R149,Pacific,18-29,yes,10,4
R150,Southwest,18-29,no,6,5
R151,Olympic,18-29,no,4,4
R152,Van Nuys,45-64,no,7,3
R153,Harbor,30-44,no,6,5
R154,Pacific,30-44,no,9,4
R155,77th Street,65+,yes,3,5
R156,Pacific,65+,no,10,5
